Id,packedCAP
0with0,0.7649065997214144
0with1,0.5583570777621213
0with2,0.464542895963422
0with3,0.3943609022556391
0with4,0.212723311546841
0with5,0.4
0with6,0.4171742723646257
0with7,0.6317220956845139
0with8,0.14058283136446492
0with9,0.28100775193798455
0with10,0.21726190476190477
0with11,0.6423229562920169
0with12,0.4784695981858834
0with13,0.4721719457013574
0with14,0.31666480689157567
0with15,0.09973588708672512
0with16,0.30952380952380953
0with17,0.29892857142857143
0with18,0.7310369893264632
0with19,0.5017446835500509
1with0,0.5443144951936784
1with1,0.49704314509411957
1with2,0.7004614041651076
1with3,0.26569349962207106
1with4,0.05338858341224559
1with5,0.5064313413717341
1with6,0.352446684608798
1with7,0.698982498982499
1with8,0.1400013261999165
1with9,0.433968253968254
1with10,0.2053333333333333
1with11,0.6513812109291404
1with12,0.5394185158099803
1with13,0.5302335409146041
1with14,0.30854770076270505
1with15,0.11174156047395485
1with16,0.4021309378452235
1with17,0.31630803836686194
1with18,0.7433969728242174
1with19,0.4027286332593238
2with0,0.6411764705882353
2with1,0.5287654320987656
2with2,0.41445474606663346
2with3,0.32387157875808903
2with4,0.11709956709956709
2with5,0.5978057498057499
2with6,0.46649794383659265
2with7,0.7448221500711929
2with8,0.1285717096915959
2with9,0.4636355417000578
2with10,0.4478114478114478
2with11,0.5787551202001725
2with12,0.3934279667140639
2with13,0.5358521616875223
2with14,0.28051579784019337
2with15,0.24677706552706555
2with16,0.3395061728395062
2with17,0.2825006141285211
2with18,0.7955981183978182
2with19,0.30652829313543595
3with0,0.4002777986648955
3with1,0.49250455684666217
3with2,0.35205128386225293
3with3,0.2923063150559731
3with4,0.0896551724137931
3with5,0.6323099415204678
3with6,0.3144046274987918
3with7,0.5536481069358463
3with8,0.1387904524139765
3with9,0.2720866773368824
3with10,0.2522905335405336
3with11,0.6022267102563325
3with12,0.36402891285752126
3with13,0.38320033856087
3with14,0.27466580838634014
3with15,0.11886591910237136
3with16,0.4158896658896659
3with17,0.4727075003676389
3with18,0.7714319636221165
3with19,0.3372802539577399
4with0,0.449880579190924
4with1,0.37137324387324383
4with2,0.36196930054072923
4with3,0.19984126984126982
4with4,0.11493146801064688
4with5,0.6449351930121162
4with6,0.3432613242553259
4with7,0.7732442126098042
4with8,0.125458653675458
4with9,0.25697884416924666
4with10,0.25333333333333335
4with11,0.5665340927068303
4with12,0.4446753086458969
4with13,0.5190496141476533
4with14,0.32822773736531835
4with15,0.19125939849624057
4with16,0.09275362318840578
4with17,0.39208972896443683
4with18,0.705638512736473
4with19,0.48286925955547655
5with0,0.5785696381658268
5with1,0.49639727574885
5with2,0.4542460383963653
5with3,0.3398540449732596
5with4,0.14066157492062026
5with5,0.3626332191835624
5with6,0.42037226430579916
5with7,0.8116345303442078
5with8,0.19204044953674765
5with9,0.4701357466063349
5with10,0.15574795574795575
5with11,0.46418711293467385
5with12,0.4535870945270278
5with13,0.5026917526917527
5with14,0.28068038451907984
5with15,0.2
5with16,0.5857142857142856
5with17,0.2818224923488081
5with18,0.7187484250727038
5with19,0.33391737261706306
6with0,0.5680535113723043
6with1,0.4507330904389728
6with2,0.45265873015873015
6with3,0.3201087801087801
6with4,0.07833627278071723
6with5,0.3361703556890722
6with6,0.3248567143667154
6with7,0.702542933101788
6with8,0.17551370929304047
6with9,0.44784580498866206
6with10,0.1392857142857143
6with11,0.630746792853496
6with12,0.46504447107125674
6with13,0.4024613300453527
6with14,0.31444987899550364
6with15,0.1887909281480234
6with16,0.33864162949130266
6with17,0.274684998643332
6with18,0.7397420634920633
6with19,0.34740282077743373
7with0,0.8409527972027973
7with1,0.40997833649655513
7with2,0.6132524426642073
7with3,0.18934930107842815
7with4,0.03181818181818182
7with5,0.5808763902763905
7with6,0.40233602857321765
7with7,0.7176904616961389
7with8,0.13469292381687534
7with9,0.2694746376811594
7with10,0.1356382978723404
7with11,0.5764671324470385
7with12,0.42536244036244025
7with13,0.5693977171151084
7with14,0.2815907502267222
7with15,0.13436160388339877
7with16,0.40471688675470185
7with17,0.253737355331405
7with18,0.6343435038378279
7with19,0.3527065801464592
8with0,0.565422322775264
8with1,0.20147058823529412
8with2,0.47259763182166187
8with3,0.3614695557710264
8with4,0.04418384269130537
8with5,0.525
8with6,0.4010954895082772
8with7,0.6464718608336565
8with8,0.08127849380221297
8with9,0.3110338735338735
8with10,0.1619674185463659
8with11,0.6784893516252962
8with12,0.33789123918161185
8with13,0.48838733239232707
8with14,0.2669484090082515
8with15,0.13958131992092543
8with16,0.20022709267633307
8with17,0.4039915339176422
8with18,0.7244621673120659
8with19,0.5060038891589693
9with0,0.36216635414496373
9with1,0.39686532507739936
9with2,0.37483115490309077
9with3,0.24701375859912447
9with4,0.14883379324766224
9with5,0.5747885824810475
9with6,0.3388613464258423
9with7,0.6560092296223384
9with8,0.15258144137220223
9with9,0.2804395604395604
9with10,0.21428571428571427
9with11,0.5640760466963421
9with12,0.6358485060690944
9with13,0.3347985813660871
9with14,0.3127333758335806
9with15,0.07161955691367457
9with16,0.427209232415182
9with17,0.3182198902238414
9with18,0.8577402755974185
9with19,0.557473805548055
